dialogueNumber,time,text,emotion_tone_sadness,emotion_tone_joy,emotion_tone_fear,emotion_tone_anger,emotion_tone_disgust,social_tone_openness_big5,social_tone_conscientiousness_big5,social_tone_agreeableness_big5,social_tone_extraversion_big5,social_tone_emotional_range_big5,language_tone_analytical,language_tone_tentative,language_tone_confident
78,"00:07:04,588 --> 00:07:12,159
","~ <i>Ou mata e matagi</i> ~
I would wind

",0.125411,0.553221,0.288555,0.045,0.06747,0.075794,0.090487,0.530424,0.193165,0.023284,0.0,0.0,0.0
79,"00:07:14,575 --> 00:07:17,607
","There you are, Moana.
What are you doing? You scared me.

",0.108761,0.035486,0.824565,0.043361,0.039917,0.366574,0.437205,0.754551,0.702584,0.104816,0.0,0.0,0.0
80,"00:07:17,615 --> 00:07:20,401
","- Moana wants to go back!
- I know. I know...

",0.791958,0.142422,0.092277,0.033249,0.021604,0.015548,0.216486,0.645458,0.094373,0.221609,0.978091,0.0,0.0
81,"00:07:20,401 --> 00:07:24,123
","...But you don't go out there.
It's dangerous.

",0.648499,0.004798,0.273407,0.055907,0.117567,0.335813,0.500416,0.563013,0.113438,0.523451,0.0,0.0,0.0
82,"00:07:25,838 --> 00:07:30,060
","Moana, come on.
Just go back to the village.

",0.743311,0.147647,0.10294,0.032761,0.034786,0.00374,0.157862,0.410264,0.272313,0.34828,0.0,0.983475,0.0
83,"00:07:31,464 --> 00:07:34,234
","You're the next great chief
for our people.

",0.281851,0.576584,0.120097,0.056787,0.036171,0.242109,0.435995,0.701676,0.878236,0.832864,0.0,0.0,0.0
84,"00:07:34,250 --> 00:07:37,322
","And you'll do wonderest things!
My little minno!

",0.071515,0.670878,0.173653,0.168241,0.010112,0.002417,0.005638,0.597574,0.374703,0.000917,0.0,0.0,0.0
85,"00:07:37,337 --> 00:07:41,774
","Oh yes. But first, you must learn
where you meant to be.

",0.130635,0.488172,0.245696,0.099,0.092773,0.321876,0.859517,0.966025,0.257766,0.923269,0.0,0.0,0.91171
86,"00:07:53,894 --> 00:07:55,505
","Moana

",0.0,0.0,0.0,0.0,0.0,0.068939,0.145665,0.461938,0.270129,0.000114,0.0,0.0,0.0
87,"00:07:55,958 --> 00:07:58,641
","Make way
Make way

",0.085388,0.737561,0.049632,0.095665,0.084175,0.039546,0.133474,0.60865,0.463757,0.435396,0.765814,0.0,0.0
88,"00:07:58,666 --> 00:08:02,396
","Moana it's time you knew
The village of Motunui is...

",0.23819,0.413294,0.339776,0.060701,0.068828,0.489946,0.211996,0.14521,0.191087,0.751899,0.857009,0.0,0.0
89,"00:08:02,420 --> 00:08:04,515
","...All you need.

",0.483073,0.33601,0.070966,0.092772,0.07866,0.544171,0.460753,0.655786,0.70327,0.45793,0.0,0.0,0.989586
90,"00:08:04,531 --> 00:08:08,753
","The dances are practicing
They dance to an ancient soul

",0.210521,0.680242,0.048446,0.059607,0.045978,0.665429,0.118185,0.424395,0.345093,0.483794,0.0,0.0,0.0
91,"00:08:08,761 --> 00:08:11,999
","Who needs a new song?
This old one's all we need

",0.307888,0.375809,0.127772,0.206512,0.050938,0.268233,0.090444,0.470827,0.207065,0.093781,0.0,0.0,0.975399
92,"00:08:12,031 --> 00:08:16,372
","This tradition is our mission
And Moana there's so much to do

",0.371759,0.384423,0.088461,0.119413,0.099966,0.101432,0.088638,0.351715,0.516206,0.029178,0.0,0.0,0.0
93,"00:08:16,388 --> 00:08:20,771
","Don't trip on the taro root
That's all you need

",0.452957,0.29152,0.139998,0.067011,0.130305,0.564441,0.592289,0.241526,0.722147,0.895883,0.952933,0.0,0.983213
94,"00:08:20,809 --> 00:08:22,984
","We share everything we make
<i>We make!</i>

",0.100506,0.776498,0.110958,0.053031,0.012863,0.230877,0.182951,0.655568,0.33737,0.429821,0.0,0.0,0.0
95,"00:08:22,999 --> 00:08:24,736
","We joke and we weave our baskets
<i>Aha!</i>

",0.225632,0.451132,0.087757,0.211189,0.075302,0.451762,0.438831,0.885699,0.510073,0.510795,0.0,0.0,0.0
96,"00:08:24,761 --> 00:08:27,222
","The fisherman come back
from the sea

",0.264218,0.579092,0.099685,0.080029,0.025579,0.666097,0.162206,0.561036,0.45269,0.431775,0.0,0.0,0.0
97,"00:08:27,253 --> 00:08:29,103
","I wanna see

",0.630502,0.16542,0.031849,0.135244,0.122059,0.104635,0.296193,0.602329,0.438749,0.156377,0.0,0.0,0.0
98,"00:08:29,103 --> 00:08:32,912
","Don't walk away
Moana stay on the ground now

",0.150272,0.288214,0.221389,0.203098,0.221826,0.002802,0.048833,0.244603,0.051716,0.065917,0.0,0.0,0.0
99,"00:08:32,928 --> 00:08:37,119
","Our people will need
a chief and there you are

",0.648663,0.03441,0.129173,0.222146,0.092262,0.813421,0.672375,0.759775,0.815501,0.415972,0.857009,0.0,0.0
100,"00:08:37,151 --> 00:08:41,258
","There comes a day
When you're gonna look around

",0.495447,0.25506,0.111303,0.142362,0.039947,0.090874,0.049988,0.701376,0.802887,0.136414,0.0,0.983475,0.0
101,"00:08:41,270 --> 00:08:43,080
","And realize happiness is

",0.037844,0.97033,0.003481,0.002141,0.002978,0.411685,0.288636,0.565299,0.507936,0.087126,0.0,0.0,0.0
102,"00:08:43,080 --> 00:08:44,080
","Where you are!

",0.045389,0.442387,0.24653,0.156533,0.197015,0.563593,0.33596,0.629605,0.607415,0.559852,0.0,0.0,0.0
103,"00:08:45,302 --> 00:08:47,428
","Consider the coconut
<i>The what?</i>

",0.246264,0.450096,0.188866,0.06011,0.130398,0.692443,0.205291,0.599113,0.322906,0.672005,0.931994,0.0,0.0
104,"00:08:47,445 --> 00:08:48,578
","Consider its tree

",0.596261,0.166207,0.207791,0.020715,0.085501,0.418481,0.274795,0.582685,0.50863,0.455027,0.967163,0.0,0.0
105,"00:08:49,287 --> 00:08:53,349
","We use each part of the coconut
That's all we need

",0.24558,0.420864,0.137774,0.128774,0.145228,0.770395,0.716459,0.514856,0.332387,0.868279,0.096699,0.0,0.975399
106,"00:08:53,477 --> 00:08:55,611
","We make our nets from the fibers

",0.169873,0.640828,0.142658,0.040134,0.063706,0.27781,0.607073,0.650188,0.343715,0.875337,0.0,0.0,0.0
107,"00:08:55,652 --> 00:08:57,319
","The water is sweet inside

",0.120333,0.609005,0.196645,0.05056,0.075324,0.778867,0.260976,0.543449,0.584345,0.469125,0.0,0.0,0.0
108,"00:08:57,343 --> 00:08:59,476
","We use the leaves to build fires

",0.473482,0.259271,0.123565,0.033657,0.190687,0.157954,0.298329,0.494975,0.413282,0.743581,0.0,0.0,0.0
109,"00:08:59,526 --> 00:09:01,359
","We cook up the meat inside

",0.396,0.349411,0.18429,0.055308,0.09809,0.73106,0.362004,0.575333,0.358676,0.530178,0.0,0.0,0.0
110,"00:09:01,359 --> 00:09:03,621
","Consider the coconuts

",0.194049,0.532836,0.151876,0.050272,0.14351,0.479534,0.280318,0.588555,0.553796,0.521834,0.842108,0.0,0.0
111,"00:09:03,621 --> 00:09:05,287
","The trunks and the leaves

",0.675456,0.169951,0.086595,0.059043,0.07847,0.572187,0.307211,0.491723,0.51677,0.561784,0.0,0.0,0.0
112,"00:09:05,684 --> 00:09:07,962
","The island gives us what we need

",0.038689,0.302146,0.377353,0.15681,0.205639,0.580608,0.69864,0.796688,0.574784,0.671018,0.0,0.0,0.0
